aleph	al	number	global
allowrevins	ari	boolean	global
altkeymap	akm	boolean	global
ambiwidth	ambw	string	global
antialias	anti	boolean	global
arabic	arab	boolean	window
arabicshape	arshape	boolean	global
autochdir	acd	boolean	global
autocomplete	ac	boolean	global-buffer
autocompletedelay	acl	number	global
autocompletetimeout	act	number	global
autoindent	ai	boolean	buffer
autoread	ar	boolean	global-buffer
autoshelldir	asd	boolean	global
autowrite	aw	boolean	global
autowriteall	awa	boolean	global
background	bg	string	global
backspace	bs	string	global
backup	bk	boolean	global
backupcopy	bkc	string	global-buffer
backupdir	bdir	string	global
backupext	bex	string	global
backupskip	bsk	string	global
balloondelay	bdlay	number	global
ballooneval	beval	boolean	global
balloonevalterm	bevalterm	boolean	global
balloonexpr	bexpr	string	global-buffer
belloff	bo	string	global
binary	bin	boolean	buffer
bioskey	biosk	boolean	global
blurradius	blur	number	global
bomb		boolean	buffer
breakat	brk	string	global
breakindent	bri	boolean	window
breakindentopt	briopt	string	window
browsedir	bsdir	string	global
bufhidden	bh	string	buffer
buflisted	bl	boolean	buffer
buftype	bt	string	buffer
casemap	cmp	string	global
cdhome	cdh	boolean	global
cdpath	cd	string	global
cedit		string	global
charconvert	ccv	string	global
chistory	chi	number	global
cindent	cin	boolean	buffer
cinkeys	cink	string	buffer
cinoptions	cino	string	buffer
cinscopedecls	cinsd	string	buffer
cinwords	cinw	string	buffer
clipboard	cb	string	global
clipmethod	cpm	string	global
cmdheight	ch	number	global-tabpage
cmdwinheight	cwh	number	global
colorcolumn	cc	string	window
columns	co	number	global
columnspace	csp	number	global
comments	com	string	buffer
commentstring	cms	string	buffer
compatible	cp	boolean	global
complete	cpt	string	buffer
completefunc	cfu	string	buffer
completefuzzycollect	cfc	string	global
completeitemalign	cia	string	global
completeopt	cot	string	global-buffer
completepopup	cpp	string	global
completeslash	csl	string	buffer
completetimeout	cto	number	global
concealcursor	cocu	string	window
conceallevel	cole	number	window
confirm	cf	boolean	global
conskey	consk	boolean	global
copyindent	ci	boolean	buffer
cpoptions	cpo	string	global
cryptmethod	cm	string	global-buffer
cscopepathcomp	cspc	number	global
cscopeprg	csprg	string	global
cscopequickfix	csqf	string	global
cscoperelative	csre	boolean	global
cscopetag	cst	boolean	global
cscopetagorder	csto	number	global
cscopeverbose	csverb	boolean	global
cursorbind	crb	boolean	window
cursorcolumn	cuc	boolean	window
cursorline	cul	boolean	window
cursorlineopt	culopt	string	window
debug		string	global
define	def	string	global-buffer
delcombine	deco	boolean	global
dictionary	dict	string	global-buffer
diff		boolean	window
diffanchors	dia	string	global-buffer
diffexpr	dex	string	global
diffopt	dip	string	global
digraph	dg	boolean	global
directory	dir	string	global
display	dy	string	global
eadirection	ead	string	global
edcompatible	ed	boolean	global
emoji	emo	boolean	global
encoding	enc	string	global
endoffile	eof	boolean	buffer
